hand_value_id,game_id,player_hand_value,banker_hand_value
HVID-E9HEEK,GID-46BI2N,7,7
HVID-ARA8R8,GID-9JZBBU,8,9
HVID-DJOK63,GID-F4T3GS,9,8
HVID-2AJNEP,GID-4NBKGX,2,8
HVID-C5MNF2,GID-7JW1BG,7,7
HVID-M8IF8A,GID-RHC9GX,4,1
HVID-TWJKYO,GID-KHP2PE,7,9
HVID-PCYUX0,GID-AAW7GL,9,7
HVID-B9LHPC,GID-OYXJ9U,0,9
HVID-Y3M1S8,GID-1H1187,8,7
HVID-GO28IY,GID-8DZOAS,3,1
HVID-SPQANQ,GID-BUMR3T,9,9
HVID-B7ZL7L,GID-UNQI9Y,5,5
HVID-5P7N5D,GID-GV8O92,7,7
HVID-9WRDWP,GID-V0MCLU,1,9
HVID-OY7WHB,GID-NSWCN8,6,9
HVID-5QWI49,GID-ZQ8QZ8,7,7
HVID-XBY6ZF,GID-WUCXD1,6,6
HVID-SH05B1,GID-OXQQIQ,0,9
HVID-Q5EUE2,GID-Z79FRF,7,8
HVID-4ZFZRD,GID-2MDLZX,3,1
HVID-7ZW86C,GID-E2ISKB,1,7
HVID-4X2UHI,GID-W234MG,6,2
HVID-OOHYAV,GID-XNMMSJ,3,8
HVID-UDIJSP,GID-T6MQ2S,7,8
HVID-VFWO4S,GID-S0DVTU,8,8
HVID-DMMN48,GID-Q06HA6,8,4
HVID-P5CYEQ,GID-MN9GVH,1,9
HVID-BKWMRY,GID-GMOW98,8,7
HVID-JCPJIH,GID-YXSH7Y,8,8
HVID-9D7NFJ,GID-4OAAWH,9,7
HVID-IZBE1P,GID-I7GB95,0,0
HVID-MQAHHT,GID-D28H0B,9,8
HVID-BYKWJN,GID-3A862K,2,7
HVID-A84RGU,GID-S9ZHQV,8,5
HVID-NPRZ1C,GID-AZ164W,6,9
HVID-FR6SRB,GID-JAI9NG,8,9
HVID-V5684E,GID-YFDJZ7,9,6
HVID-JSVLGX,GID-XC0B68,6,9
HVID-ATTDXS,GID-8WZVCZ,9,0
HVID-EIQU52,GID-F83WV0,8,4
HVID-J2N3BF,GID-JYILVX,6,4
HVID-6B1BUE,GID-33ZX8A,7,3
HVID-WAOX4K,GID-R0RNZ6,5,8
HVID-Z890S4,GID-TPVDH9,9,9
HVID-EVZT44,GID-EIDB7G,4,7
HVID-GIMS7K,GID-JCF3IA,3,7
HVID-BOGCA2,GID-ATMD5D,7,2
HVID-XA6A8M,GID-ODSEZN,2,8
HVID-38LIFN,GID-QXT1SV,7,4
HVID-2EZL5C,GID-TGRKS5,4,8
HVID-17ETMV,GID-PUAT8J,8,2
HVID-CDFWQ8,GID-FOYINM,9,9
HVID-AG0SCI,GID-UTAPEM,1,5
HVID-UZ50RJ,GID-YCL8KC,4,7
HVID-LD09K4,GID-8XASJ3,9,9
HVID-ND1OP5,GID-MBOUND,0,1
HVID-775VK1,GID-FOIBEU,9,9
HVID-HINK52,GID-7Z5WG7,4,9
HVID-JL86RL,GID-5JMVI1,5,1
HVID-EYNETH,GID-150L9P,7,0
HVID-OAYAO2,GID-QTUGBH,1,9
HVID-8INXEF,GID-V67580,7,9
HVID-1CQNA6,GID-758CBI,8,8
HVID-LFPCJJ,GID-YOZ2WU,7,8
HVID-HVID1E,GID-S4OSOP,9,5
HVID-D4D6U9,GID-T8XD6D,0,9
HVID-BJK10L,GID-Y90E1E,6,9
HVID-N4WRQN,GID-4DA8AJ,3,9
HVID-F5JPQY,GID-L3GWXG,7,5
HVID-MKBCTA,GID-9D6O7Y,9,8
HVID-J5CLV0,GID-OZEYKD,8,7
HVID-GX3OJ9,GID-FAH80N,9,9
HVID-DKQYKV,GID-NM8Y06,7,8
HVID-L1DUTW,GID-NF78HK,3,7
HVID-EKBBWA,GID-4GGP82,4,4
HVID-CPG3K4,GID-4NWS72,9,8
HVID-W7FSDI,GID-NEFQBW,7,7
HVID-WWBCS7,GID-P7NR8H,5,1
HVID-ZWXM24,GID-5S7KV1,7,8
HVID-CFITN3,GID-X84RST,8,9
HVID-69DYS4,GID-AXHQ3G,7,7
HVID-QGHK3J,GID-FK2DLZ,2,5
HVID-QZQWZI,GID-W1QCHQ,2,6
HVID-6CL2YS,GID-T91WQE,5,1
HVID-34I1ND,GID-GDO8T3,7,9
HVID-Z2ZRNH,GID-N75650,7,0
HVID-1FCE2R,GID-WY647J,6,7
HVID-EM2GDR,GID-5BR28P,6,8
HVID-V608U1,GID-PM38F0,6,7
HVID-7NHIFY,GID-O4MB3D,8,6
HVID-4BN6VA,GID-6DGF6C,2,9
HVID-PB06HF,GID-7JQKH8,1,9
HVID-8QCWLH,GID-WBDDUV,6,8
HVID-KF6FCT,GID-7L6RQ0,5,7
HVID-NGVFYH,GID-4D9630,7,9
HVID-Q3EAQC,GID-8SLJIG,7,8
HVID-2S0BTF,GID-MICB3T,1,7
HVID-KDNGT0,GID-T34P5R,3,7
HVID-1ER9CN,GID-3P0HE2,3,7
HVID-217G73,GID-QA8R86,6,8
HVID-ZZ7EH8,GID-RX6L9P,6,6
HVID-KRXIPF,GID-IGJ201,5,5
HVID-KK8M0I,GID-VPXNOQ,6,7
HVID-4IGO8G,GID-G78P4H,1,8
HVID-YKL9O5,GID-SQC9FN,8,9
HVID-ZE5Q67,GID-W2CJ11,6,9
HVID-Q6AUKZ,GID-BO54VU,0,9
HVID-M2S8Y4,GID-LUTGT9,9,3
HVID-S1M7LD,GID-QQ4NEF,9,7
HVID-VOGN2H,GID-T7YCF1,7,8
HVID-TC8C4M,GID-J5EOYP,8,8
HVID-PSX10L,GID-5ITVJW,7,8
HVID-EAHJNK,GID-UJXZV3,7,7
HVID-S971KJ,GID-OE44K5,9,3
HVID-VOJB09,GID-7V3R4M,0,7
HVID-464DUC,GID-8QC8MZ,4,7
HVID-H6T7AA,GID-G34V0F,9,9
HVID-NC4G89,GID-HWGZLW,0,7
HVID-58TN64,GID-P933FW,2,7
HVID-3QPQ5V,GID-ZRU5UQ,1,2
HVID-UBLMNO,GID-SUMY0F,3,6
HVID-0J18DO,GID-WA3GEE,9,2
HVID-K4SVG4,GID-QQVLSE,9,9
HVID-LQPJAL,GID-3FQGPK,9,4
HVID-7M2OLL,GID-U285TV,6,0
HVID-F8FXEN,GID-N1XQCJ,7,9
HVID-72UYJU,GID-PH2PWJ,8,9
HVID-DPIJWL,GID-SG9OJA,3,9
HVID-HVVIXM,GID-LMRCOS,5,8
HVID-TO1P3C,GID-PBZPT9,7,7
HVID-1QZR6U,GID-3FTS2E,3,6
HVID-3RHXF3,GID-4VI8CP,9,8
HVID-H7PQD3,GID-1B0B5P,5,7
HVID-GKCY2I,GID-WMPF95,9,1
HVID-ZAPP0B,GID-R6KI91,2,9
HVID-FVZSG8,GID-2JRJH2,9,0
HVID-DATI6B,GID-RPOI4M,5,8
HVID-M4X70V,GID-U21XSD,7,8
HVID-IF8JHD,GID-AO4SOK,2,9
HVID-T0BT9Q,GID-IIQ4MJ,2,5
HVID-UQ6PAA,GID-E5Q3Q9,6,9
HVID-4NNCGW,GID-OXGH6W,0,3
HVID-6K50K0,GID-3WX4K4,8,6
HVID-3RJCLS,GID-I6TUYE,2,7
HVID-RD9RGS,GID-FXXBJN,3,7
HVID-Y8MK88,GID-OHF0MZ,8,8
HVID-XFCO10,GID-UUJUF8,4,5
HVID-5ZSAOR,GID-BE9OEQ,1,2
HVID-4894SS,GID-9ZZ04X,9,9
HVID-X26WEN,GID-IKCUEK,8,9
HVID-POBQQ2,GID-NXPIDN,7,8
HVID-N7KIEM,GID-5Z3LEM,2,7
HVID-FFYSD1,GID-EQS0EB,3,9
HVID-SQKMXX,GID-ZYTZCD,1,9
HVID-EXYB1O,GID-TNSMYU,9,6
HVID-Q39J43,GID-K0UNBK,9,7
HVID-UI0OWA,GID-NI0Y22,6,9
HVID-T2M4KP,GID-6FEUB0,7,8
HVID-VTJKQL,GID-ZZ6M7Z,8,8
HVID-U2V6DZ,GID-YEFV6M,3,1
HVID-VCRRHM,GID-R0YR04,9,7
HVID-B75TO3,GID-H3P3QW,4,8
HVID-29I1JM,GID-VRPBHX,7,0
HVID-20JV9E,GID-PI1KMW,0,7
HVID-TTF20A,GID-NQ7IXL,7,7
HVID-MHR9X3,GID-3L8ZV4,5,9
HVID-5FAU33,GID-QTQOT9,8,6
HVID-OSVNPY,GID-I6AJWA,9,6
HVID-H77TKE,GID-DEX1TQ,4,1
HVID-MMIUJX,GID-GLTLIF,7,7
HVID-AKIARH,GID-JKSQOJ,6,9
HVID-9QMX5Q,GID-BRYYH3,7,8
HVID-JSUKTF,GID-IP8WRX,2,7
HVID-TJCDFV,GID-K1NQEX,3,8
HVID-B2FBJR,GID-8MZL3D,8,7
HVID-D2CZMH,GID-R625XV,8,9
HVID-3Z445N,GID-I6JVNT,1,8
HVID-CEZBZ4,GID-07BGA8,6,8
HVID-RA18P2,GID-1SMFP1,9,7
HVID-JYVUAH,GID-8QSJ3R,4,2
HVID-G1LKY9,GID-BLS7CN,5,5
HVID-VVPJO0,GID-JVG4BI,6,0
HVID-Q135QP,GID-LY7305,7,4
HVID-KXUCW2,GID-PJI7SY,0,9
HVID-6VYSO7,GID-K97IFT,4,2
HVID-GHXORO,GID-X60VE8,6,7
HVID-A2GJPD,GID-1XEC81,9,7
HVID-J07339,GID-DSEMTN,7,8
HVID-28G6TJ,GID-CKRLCE,1,7
HVID-UJ2N2J,GID-6T8EG7,9,9
HVID-A1LRN3,GID-9DV482,3,7
HVID-37XK5K,GID-95NP5J,9,8
HVID-DDTW4K,GID-W1F3VD,1,9
HVID-3JKR17,GID-4ANFRN,3,3
HVID-XJ8M1Y,GID-C54I0R,6,9
HVID-R82SSM,GID-BIBYZC,2,7
HVID-W9KSMI,GID-INVM00,6,9
HVID-73Y5KR,GID-I8E2UC,2,8
HVID-YVEK92,GID-1ZQOY0,8,9
HVID-UM3I34,GID-ZQVDJA,3,7
HVID-ZKGBJ1,GID-WHAIPF,9,9
HVID-FKTP1O,GID-PAFTPO,5,6
HVID-AKRD9P,GID-4U0AGG,5,7
HVID-JLYSER,GID-PHZLU7,0,9
HVID-MML3HX,GID-7FMXI2,1,7
HVID-PBO5MF,GID-XL3SG9,0,9
HVID-HMOPAL,GID-E7OCIR,9,7
HVID-5GC2FZ,GID-FVMLRC,0,8
HVID-ET2YHM,GID-CN2KMN,6,8
HVID-KS6V9O,GID-LXSYCL,3,8
HVID-ICYSFY,GID-WUXFRE,7,8
HVID-P95H8E,GID-G274D8,6,8
HVID-WJP16G,GID-B1TJ7B,6,5
HVID-6B1HJ2,GID-6ND7R4,4,5
HVID-QN0Z2X,GID-4MEJIM,2,8
HVID-IJL6XT,GID-VKIR1L,8,8
HVID-ZPJT29,GID-PQHT6X,7,7
HVID-3XUOFZ,GID-5KS96B,1,9
HVID-BS6A8W,GID-BYI5CV,8,7
HVID-F3MW8L,GID-LP7RTP,7,3
HVID-794AK5,GID-P361Q4,5,9
HVID-HSGECR,GID-O7H8H4,5,3
HVID-O5NIKY,GID-W0PPIS,9,8
HVID-OJCYFZ,GID-I5AMXA,5,8
HVID-36YSSV,GID-V11GZ6,6,8
HVID-6DXJDL,GID-4S0HMV,5,7
HVID-M0TC5X,GID-AQ59M3,8,4
HVID-3XWBHT,GID-X3YBRC,6,7
HVID-VEO3KH,GID-VYLYMI,4,7
HVID-HUIZNL,GID-VP5EMR,3,7
HVID-ZWOSLZ,GID-EYM6QQ,2,1
HVID-1TOPFB,GID-HWCINT,4,9
HVID-XNCVA1,GID-MKNR6G,6,9
HVID-VU6076,GID-XA5TUX,3,9
HVID-GG2EBQ,GID-VFFENR,8,8
HVID-HCR152,GID-XHHMLB,7,6
HVID-A5BZSU,GID-OPJ55Q,9,8
HVID-813FSQ,GID-HTSGAF,3,9
HVID-SYUQ0H,GID-ZZJ8AQ,2,8
HVID-67X9PA,GID-0HDW2N,0,3
HVID-54GE7Z,GID-7QRYLA,4,1
HVID-W1UZT3,GID-P57MYK,8,7
HVID-XXGSMY,GID-I8ELGJ,4,7
HVID-KR51PA,GID-52IZ3N,9,4
HVID-WD741L,GID-K8CHK6,0,3
HVID-0VWZVO,GID-8FFL6K,1,8
HVID-RTD9I5,GID-PYMLZS,8,9
HVID-78XMD0,GID-53LEZS,4,9
HVID-TJR542,GID-WMRGX7,8,8
HVID-OXLID2,GID-NQT14U,6,7
HVID-P51WAG,GID-7QDC0Q,9,2
HVID-N9N38E,GID-SMXKW5,6,6
HVID-RJH4C0,GID-9O2RPY,1,8
HVID-A70WEJ,GID-PRAXAM,8,8
HVID-JVWVD1,GID-729FXT,6,7
HVID-Z7UONB,GID-1Q8HFV,9,7
HVID-5MCNT7,GID-0V3LRE,6,9
HVID-XQZBZE,GID-ADMUE4,1,2
HVID-IH0V0J,GID-1IK49H,0,5
HVID-N8OT3T,GID-6B04K6,0,8
HVID-QK9A07,GID-JEFDUG,8,7
HVID-KHWM47,GID-2PF4MD,4,5
HVID-3T5F9B,GID-P2BG4X,1,9
HVID-CHD2V2,GID-EUZ4Y0,8,7
HVID-ZYGZH2,GID-V2FXQN,8,9
HVID-P3SZS9,GID-CHMJWL,9,9
HVID-5S7PHE,GID-HOEBL7,5,5
HVID-D827S1,GID-PSIC4P,9,5
HVID-7KX070,GID-QX34YV,6,0
HVID-9SK9GB,GID-426ZRG,0,7
HVID-1HRH8K,GID-TOQSR6,8,6
HVID-XG9L2U,GID-HXR0D8,0,6
HVID-DTJSAM,GID-Y1C56P,6,2
HVID-3BR1Q7,GID-5H8SUW,3,3
HVID-02PDND,GID-E6GXMW,9,8
HVID-PQ2ALV,GID-6P6YWY,8,9
HVID-XWJYM8,GID-M1I1I3,0,7
HVID-ORBFLN,GID-3L28DE,2,4
HVID-P476UW,GID-676RDE,9,6
HVID-K9JAWA,GID-OF94TQ,6,4
HVID-AB8FJT,GID-HBPE2O,6,6
HVID-ALYREU,GID-G9XRAI,7,8
HVID-6RA8H9,GID-7ZAAPO,8,9
HVID-FO1ET1,GID-UTC38T,9,9
HVID-M6CYQY,GID-G9VUOE,0,8
HVID-Y6S66Z,GID-TDZ1FA,5,9
HVID-XW877Z,GID-VNGG5W,3,2
HVID-4H4VJY,GID-ANBONF,7,7
HVID-2VSSTV,GID-WA0VEA,8,9
HVID-6DVLBR,GID-OT0BC0,1,1
HVID-V810SF,GID-I7EFNC,7,3
HVID-28LUB7,GID-5S4QK4,6,8
HVID-G7GFS6,GID-KDBSCX,0,6
HVID-7ZOF2R,GID-YEAEFQ,7,6
HVID-3F2KCG,GID-MCRSLG,0,7
HVID-16UYK9,GID-5RYDVF,3,7
HVID-QZSYJS,GID-7DPGC6,9,7
HVID-JV89YC,GID-3AYZW6,3,8
HVID-JLX99G,GID-R47OJI,8,9
HVID-1YSECN,GID-CISNIA,7,0
HVID-Q9FOHK,GID-QBBGY7,6,1
HVID-OCVJDU,GID-6JIJ04,9,7
HVID-O46X8J,GID-7SEXQ8,7,8
HVID-4OH7G3,GID-3LIOQQ,1,7
HVID-P6HYTG,GID-D3YOIN,0,8
HVID-KOLXZS,GID-L1EA2B,0,9
HVID-K6A5Q1,GID-Y311CT,9,9
HVID-BVAPZA,GID-30N91L,6,8
HVID-8Q311N,GID-AJ73A7,7,8
HVID-CEY6R7,GID-HAAFLS,3,7
HVID-3C80GE,GID-P5UST7,0,6
HVID-PHUV47,GID-F55DJJ,1,0
HVID-528R9J,GID-YESIT1,4,3
HVID-PFL8JI,GID-4ZDZAZ,5,8
HVID-0JRKZD,GID-PJNL3C,5,9
HVID-1QPV4R,GID-PIOQAE,7,7
HVID-VIOJ5M,GID-AIP96R,9,3
HVID-HXCL6E,GID-W1ZCQ1,7,9
HVID-VRQMIM,GID-S66E74,9,8
HVID-2Z27SP,GID-6VF56E,0,6
HVID-P3DWK3,GID-99ZPVQ,3,5
HVID-891GHD,GID-GCN7KZ,9,8
HVID-KBHDUP,GID-SMGXO2,9,7
HVID-NM6Z0N,GID-DFGEZZ,4,9
HVID-V747NT,GID-2UYLG6,5,9
HVID-YDA5VV,GID-KXFO40,7,6
HVID-X01RDS,GID-3SUMOX,2,6
HVID-1X05Q4,GID-LIZ8IN,8,9
HVID-G7BYRG,GID-G6MP67,8,9
HVID-2PE4T7,GID-MD4LRS,6,6
HVID-C1OJXD,GID-OQQMIZ,8,9
HVID-Y8HVRK,GID-9YNGMO,9,7
HVID-TPE9N9,GID-AET97C,8,6
HVID-S72FBQ,GID-VE11DP,5,9
HVID-OIVB0N,GID-FPFELM,8,9
HVID-2WR1K8,GID-KN6MWR,0,5
HVID-MK1VRK,GID-FT7TAI,3,4
HVID-Q170PO,GID-FVUFX5,1,9
HVID-S6QM3J,GID-QZU0IN,5,8
HVID-24DFFK,GID-OAOHYB,1,4
HVID-GRLHIU,GID-YD8VYV,9,3
HVID-UCFM5E,GID-T3LO8S,1,8
HVID-T9IZVL,GID-XJK2C0,6,8
HVID-0JEW0H,GID-XK9JQH,7,9
HVID-BX1LUC,GID-LDGU7X,8,2
HVID-WU2M96,GID-ZLNLT1,4,7
HVID-5EOW34,GID-GYQKPC,8,5
HVID-B8UN6J,GID-SMUY3H,8,7
HVID-KH9MC8,GID-9UGRVP,3,1
HVID-8KETUM,GID-CXE9YR,7,7
HVID-M1HR3P,GID-ZG34H3,9,4
HVID-3B448P,GID-QSQONM,9,8
HVID-481GXO,GID-8CKVJX,5,4
HVID-KHYFOY,GID-1OTNNJ,8,1
HVID-BP9413,GID-PFV4J6,8,7
HVID-JOWNA2,GID-YG61CE,6,5
HVID-PBMBWN,GID-PWD6PA,9,9
HVID-JL3ZZ9,GID-HLZLK7,7,7
HVID-QZXC0Q,GID-34T4TK,2,9
HVID-6V5TUZ,GID-VXISVN,4,9
HVID-E8RHZT,GID-CUCXTU,5,9
HVID-M8QCF2,GID-HGW5ZO,7,9
HVID-J6M169,GID-M6UD6H,9,8
HVID-A9IQWX,GID-SEEF4X,3,8
HVID-M61VE9,GID-2F3Q7H,0,9
HVID-OKMP37,GID-D7KVP4,4,7
HVID-G01PU1,GID-FLIKCD,9,1
HVID-561956,GID-IW9AZO,8,7
HVID-OYVR1E,GID-AH72QU,1,8
HVID-W1PXZD,GID-JC5SXX,8,8
HVID-VKVHC5,GID-LE2AAE,9,5
HVID-KH5RH6,GID-NME9MA,1,7
HVID-1QSDT1,GID-6YZZ7T,7,9
HVID-069POQ,GID-RDU9K1,9,6
HVID-4XG09C,GID-4DBTE4,2,8
HVID-QZVU8G,GID-K9K9L5,9,6
HVID-63G3A9,GID-JC2IBA,2,2
HVID-WBDYC9,GID-HSIGCK,4,8
HVID-LBLMWM,GID-K8ZJED,5,8
HVID-AD7E5P,GID-E24YD4,9,7
HVID-Y49FQ3,GID-Z872HK,6,6
HVID-XB27AA,GID-TCFKMU,3,8
HVID-HBEK6H,GID-AI3YEC,3,8
HVID-FO3B9N,GID-MEBI7H,3,9
HVID-3ID960,GID-ESGMTS,8,7
HVID-R337A3,GID-V8618D,9,9
HVID-PEIF9W,GID-J1DC06,6,8
HVID-JMVG9Y,GID-D1K0JL,4,0
HVID-36I9WA,GID-D85UZ7,7,8
HVID-4ZKO6Z,GID-23L137,7,4
HVID-T9M4T9,GID-6SXJ9R,9,7
HVID-RXG2I1,GID-B0EVQH,8,7
HVID-5ZPV7M,GID-59400P,7,9
HVID-5L9VQ3,GID-ZH7FCS,6,9
HVID-BR97AE,GID-UOFPMF,8,7
HVID-GWVQ2Y,GID-EEEY3C,9,8
HVID-7D5LAE,GID-YBD6WL,4,7
HVID-V77RF2,GID-MBJXMN,2,6
HVID-CD3SSB,GID-8W3H2T,8,7
HVID-3GKP4H,GID-AEE3T5,7,2
HVID-IIVPVM,GID-JZ6QAM,5,9
HVID-5Y64EY,GID-9K6PMY,2,9
HVID-U8F4C8,GID-9D1T12,6,7
HVID-BZOOZB,GID-8D8YXC,6,7
HVID-KEI21X,GID-7P4DIO,9,7
HVID-C8C3A1,GID-EFZLXP,7,8
HVID-V9VN1W,GID-Z9QXD5,1,9
HVID-T6WK7C,GID-P4L70J,9,6
HVID-XFE9VR,GID-OOBA4A,1,0
HVID-DM0T8G,GID-SEFQ1L,4,8
HVID-DZM1FE,GID-ZS7HAV,9,9
HVID-PYZ1LP,GID-2TF261,9,9
HVID-FNKR0N,GID-95E0RS,6,9
HVID-WJGU4E,GID-3PU466,9,4
HVID-MUKFRX,GID-KTNA9F,4,8
HVID-ZKQECE,GID-BV1AYE,3,7
HVID-Z8WD0B,GID-YBX8WJ,6,5
HVID-FDVVWI,GID-4VB1Y1,9,7
HVID-OUBIK8,GID-4I4YNV,4,1
HVID-PT0KFF,GID-B1QP8V,8,7
HVID-7J66HF,GID-UKFE7P,1,9
HVID-4B2I3D,GID-CD0RJA,9,9
HVID-NUP3E9,GID-647BNT,5,6
HVID-UZOTGS,GID-NIT0PY,9,6
HVID-CRR1N3,GID-FFTJTW,6,7
HVID-EHHZJ2,GID-8F6PYU,5,4
HVID-XK9V1R,GID-4T1GD0,6,0
HVID-CGBRIB,GID-O3U3Y8,8,1
HVID-EG1CTJ,GID-VU161P,6,9
HVID-SYRT39,GID-LFOQC5,1,6
HVID-GUTVYX,GID-5O2DET,8,8
HVID-0ME8F4,GID-8MWFTW,7,7
HVID-DCZWUZ,GID-DDLYLH,9,8
HVID-H4XXEL,GID-QH76XI,9,7
HVID-EMXYUA,GID-TOIXQ8,4,7
HVID-CGUCYZ,GID-ENPOWU,4,7
HVID-R4GZNC,GID-PFY7J8,7,3
HVID-N9XHK6,GID-HEHGHB,4,7
HVID-XMRGZW,GID-IODQUX,0,7
HVID-LK4DWO,GID-7B2UKB,9,7
HVID-9TKO81,GID-HIB8L5,0,7
HVID-ACCPOI,GID-99V4WB,2,9
HVID-I7E27L,GID-Y7COA7,6,6
HVID-527LJF,GID-TDJBCQ,3,7
HVID-9LN4Q3,GID-MQQPVZ,3,8
HVID-3TA99T,GID-POKC43,5,9
HVID-ZHHB3O,GID-33Z30G,9,8
HVID-JZIXPS,GID-5ECR93,5,8
HVID-3RTLAI,GID-L7QXG7,7,9
HVID-JA6YCD,GID-O2LMIA,1,6
HVID-D2AFJ3,GID-R0N7HV,3,7
HVID-1RN7YW,GID-78PBUL,0,7
HVID-U40IO9,GID-Q3B0FO,4,9
HVID-GE1NMG,GID-GDEDAA,8,8
HVID-3HXJ5S,GID-EXVDQE,7,7
HVID-G5LHQA,GID-T712S3,1,0
HVID-PN4Y02,GID-4JVW14,2,8
HVID-TQMZQT,GID-HANQ2B,6,7
HVID-CVWIUQ,GID-JT5LSH,5,6
HVID-5KOM0V,GID-LAAB29,8,7
HVID-CL1UVX,GID-PRYQME,8,5
HVID-JABWUF,GID-WK7I1U,7,9
HVID-FBN361,GID-XEVR0C,9,8
HVID-5ICK36,GID-24L5F4,9,9
HVID-2R8VTY,GID-5D5CSD,9,7
HVID-07WEIH,GID-Y8720Z,6,8
HVID-V2UP4I,GID-BM960T,3,8
HVID-Q6B5MG,GID-GXU0RE,7,4
HVID-NEG262,GID-0HVTVK,7,7
HVID-6G30LB,GID-GQ1RB9,6,6
HVID-TX62X5,GID-P8H91T,8,0
HVID-YW9V3G,GID-0H02RI,8,4
HVID-8NWXKJ,GID-RP4HS7,4,7
HVID-2B9N03,GID-3NYVCY,5,9
HVID-LY5GIJ,GID-9OHWG6,9,4
HVID-NWRKEM,GID-A3PIA3,2,9
HVID-DFGPX6,GID-0W8RO4,8,9
HVID-9OYQX2,GID-B3IXEW,0,7
HVID-T1BLBT,GID-LXUU8A,8,9
HVID-J5EIJH,GID-YEXT21,8,7
HVID-830YHJ,GID-IYKDWA,6,4
HVID-V778DT,GID-W29CCL,5,9
HVID-5ZCVIH,GID-EU6NOX,2,6
HVID-S030NY,GID-J3SQ9L,6,8
HVID-7VV3YX,GID-YFWX34,4,7
HVID-JL0ZO7,GID-GH87F1,6,3
HVID-F514EM,GID-4BIU68,7,0
HVID-BMAQQH,GID-WE0GAJ,7,7
HVID-9ONENZ,GID-UWB8PA,4,0
HVID-MZAA4L,GID-FRCN7W,8,9
HVID-5UVRRC,GID-C22WCP,8,7
HVID-FVW3N2,GID-6RPK9B,2,7
HVID-W2K2DV,GID-H2QAB1,2,8
HVID-YM0KX4,GID-UCUZP0,6,9
HVID-9MEOB0,GID-1EPI94,4,9
HVID-FCG5N1,GID-T1XK9Z,6,9
HVID-XNLQQ5,GID-UV2MTW,6,8
HVID-1ED7A0,GID-4604XV,7,8
HVID-HTXJLY,GID-I4LZUM,9,8
HVID-EAYPGJ,GID-60LBFD,8,9
HVID-AT2L8I,GID-YHCGTH,5,5
HVID-WDX4IU,GID-VQT3TK,0,4
HVID-KOO2OL,GID-ZALELQ,1,7
HVID-LGJVS0,GID-P4LW7T,7,7
HVID-PO5BB8,GID-I7RMUL,0,6
HVID-NBC3KP,GID-R7IDTY,9,3
HVID-FAXJR3,GID-CYIZU8,6,2
HVID-T62KI5,GID-GY59X9,9,8
HVID-SOV9OU,GID-URGHUW,1,0
HVID-D99EEL,GID-S0S0QF,9,9
HVID-GCYAA4,GID-PODVIZ,4,9
HVID-UA45HW,GID-6P84V7,8,9
HVID-6QSB00,GID-7EIYSS,4,8
HVID-BIC0WS,GID-E6J3KW,9,9
HVID-V5XTBZ,GID-FAW96K,0,1
HVID-4SBMW1,GID-D5YKAA,6,9
HVID-XEPF92,GID-RQVN7B,6,9
HVID-M2RIAX,GID-XFKXER,4,2
HVID-S56986,GID-4CKFF0,4,8
HVID-B66X9U,GID-XECQVZ,7,8
HVID-0HVVT2,GID-YSUVV2,3,9
HVID-R9P2I2,GID-VCELCU,6,7
HVID-W2RXTX,GID-XQ8RYV,6,4
HVID-ETCA4Y,GID-34SL3L,8,8
HVID-6RXHZ8,GID-99LOEI,1,7
HVID-Z5WV2Y,GID-1TAFMZ,7,9
HVID-GMUY7A,GID-C2P9DH,9,9
HVID-86A5KJ,GID-ICUD37,9,2
HVID-DXXYJR,GID-0S64SN,9,9
HVID-NEHJD0,GID-SV3ARA,6,6
HVID-DQIPY7,GID-WTAVI1,5,9
HVID-L4U6N6,GID-7V32DD,2,8
HVID-13D5OY,GID-Y5QQAB,6,9
HVID-1VEZDR,GID-XA5E31,7,9
HVID-6AP8V4,GID-9RY4CK,8,2
HVID-UOX780,GID-A84XLG,7,7
HVID-W51LTP,GID-HLB2AS,7,6
HVID-LFQ6TF,GID-7E5RTQ,7,8
HVID-SVC9CQ,GID-PIIRDO,8,7
HVID-VLG6NP,GID-X76KA2,6,6
HVID-5JX82J,GID-6SI1QG,4,8
HVID-BDH9K9,GID-AMY1SO,1,9
HVID-69FJ66,GID-ZE99NK,2,7
HVID-1LUDX8,GID-P5UURS,8,9
HVID-4BOOGB,GID-8NRPQ8,6,7
HVID-RVL3MQ,GID-18EMBN,7,7
HVID-M5CDA0,GID-A52I5O,9,8
HVID-QTEY3X,GID-GOFOV1,9,5
HVID-NL3OK0,GID-XLU77Y,9,7
HVID-FY05BE,GID-W69PEP,9,7
HVID-9F6VTI,GID-9PRKS5,4,8
HVID-76DIQJ,GID-DKUR6A,1,9
HVID-07YJLH,GID-648XA5,7,8
HVID-K87KBG,GID-NFY0M5,7,8
HVID-EQ88EG,GID-WB3A4W,7,7
HVID-3FQ5B8,GID-B5CNMM,5,7
HVID-2PTELO,GID-0HBTOV,9,8
HVID-31K2G9,GID-2B86RF,9,9
HVID-NQBDBA,GID-DBU81K,7,9
HVID-9WVU8Q,GID-RNCJP7,8,8
HVID-5RBDTM,GID-5V8KWA,6,6
HVID-E3TYHA,GID-AIX50W,6,7
HVID-H2K1H3,GID-W8GVME,9,9
HVID-6XUNC4,GID-3XL3PE,6,7
HVID-SLHMYY,GID-EQQM19,7,8
