,hand_value_id,game_id,player_hand_value,banker_hand_value
15334,HVID-M5PLYQ,GID-KV71GF,6,9
15335,HVID-9XDQXT,GID-CS7BUM,9,1
15336,HVID-835UCV,GID-G0OTC3,3,9
15337,HVID-VA4HXO,GID-LTYHGG,6,9
15338,HVID-IVV8P2,GID-IOZGHW,6,7
15339,HVID-A3I7YQ,GID-JT1OQ0,2,7
15340,HVID-968FQL,GID-GA7OB0,4,7
15341,HVID-XJXCS2,GID-KBA692,5,7
15342,HVID-EVHH0W,GID-9UA0OF,9,8
15343,HVID-KWDT02,GID-9P4P1B,8,7
15344,HVID-3K39DX,GID-EZM8QS,9,9
15345,HVID-F8KXYE,GID-WJYB1P,0,6
15346,HVID-GNBF0S,GID-PSD5IY,5,8
15347,HVID-8HO91F,GID-U1GW6J,4,6
15348,HVID-PS49LR,GID-LCU49N,2,8
15349,HVID-OPMX77,GID-2BIRUF,5,1
15350,HVID-2QD9UW,GID-BDIILA,3,2
15351,HVID-JC1ZMA,GID-YH66OM,7,7
15352,HVID-FH50K8,GID-AG96AM,8,7
15353,HVID-9Q5IN9,GID-IR1DRE,1,6
15354,HVID-9EAC12,GID-DU9KZQ,8,9
15355,HVID-YA4EOU,GID-2ZMT59,9,9
15356,HVID-KAQXYC,GID-SBE2DN,3,7
15357,HVID-444LYZ,GID-MZ57N1,6,9
15358,HVID-P75RTY,GID-TH5ESQ,8,7
15359,HVID-KE1715,GID-NSIT4T,2,6
15360,HVID-B8PIQW,GID-MQX0VW,2,7
15361,HVID-3DND4M,GID-3JB5F2,7,7
15362,HVID-KHIOVS,GID-V0NSG6,3,6
15363,HVID-4O3SLO,GID-J39TKQ,7,8
15364,HVID-SPDO36,GID-YTA8PC,7,6
15365,HVID-5QA1NU,GID-YO74OH,7,3
15366,HVID-OCPHYB,GID-76EV94,6,0
15367,HVID-CQ8FBG,GID-DJQ28N,1,9
15368,HVID-M9NUGT,GID-7TIYP7,8,9
15369,HVID-DWJZ8E,GID-JGT40A,5,8
15370,HVID-RJWPG4,GID-UOF6JZ,7,0
15371,HVID-NL9GF7,GID-9B53B8,3,9
15372,HVID-CX7LPK,GID-IC2RYI,9,9
15373,HVID-5Z93KU,GID-4TXKPD,1,8
15374,HVID-TQFRRO,GID-D01G2C,0,8
15375,HVID-VXMNN5,GID-LP605H,5,4
15376,HVID-1GFQER,GID-ZAUH0R,6,8
15377,HVID-8AAS7K,GID-71Q7HC,0,9
15378,HVID-5ESKIX,GID-YDMRYB,8,3
15379,HVID-QK6234,GID-R37BI6,9,8
15380,HVID-PWAJRB,GID-KPN6HE,3,6
15381,HVID-QZ5ZSJ,GID-305G37,3,9
15382,HVID-IFQWT3,GID-FD76A1,8,4
15383,HVID-LXSB2B,GID-NRL9SJ,7,9
15384,HVID-7RQXXG,GID-Q6G50M,7,6
15385,HVID-IPU5QY,GID-8AUMKF,4,9
15386,HVID-5QGB0I,GID-5CF8SJ,6,7
15387,HVID-IPZCQQ,GID-O6QII5,1,8
15388,HVID-LPZY6Z,GID-8RH1D1,7,9
15389,HVID-0589YS,GID-TOJWAS,8,0
15390,HVID-MPN3QG,GID-Z9E848,1,9
15391,HVID-66VD21,GID-531WZX,2,9
15392,HVID-7RP9ZD,GID-XRZ86P,6,9
15393,HVID-H50WE4,GID-GM1W4F,0,7
15394,HVID-1YCS45,GID-3AL4GN,5,0
15395,HVID-FSTZ3N,GID-BXRIIP,7,8
15396,HVID-E2BT70,GID-BBQD2R,8,9
15397,HVID-0U8WTT,GID-L95ZJ6,5,8
15398,HVID-IG1VGO,GID-OWNCR3,6,7
15399,HVID-8LSCOQ,GID-WMFDPL,9,9
15400,HVID-PYQQ6Y,GID-ZZ7RBZ,1,0
15401,HVID-JTG0IY,GID-5997FH,6,9
15402,HVID-0819L7,GID-TT0JSU,7,7
15403,HVID-UF7SM7,GID-GM4L0N,6,2
15404,HVID-E9HEEK,GID-46BI2N,7,7
15405,HVID-ARA8R8,GID-9JZBBU,8,9
15406,HVID-DJOK63,GID-F4T3GS,9,8
15407,HVID-2AJNEP,GID-4NBKGX,2,8
15408,HVID-C5MNF2,GID-7JW1BG,7,7
15409,HVID-M8IF8A,GID-RHC9GX,4,1
15410,HVID-TWJKYO,GID-KHP2PE,7,9
15411,HVID-PCYUX0,GID-AAW7GL,9,7
15412,HVID-B9LHPC,GID-OYXJ9U,0,9
15413,HVID-Y3M1S8,GID-1H1187,8,7
15414,HVID-GO28IY,GID-8DZOAS,3,1
15415,HVID-SPQANQ,GID-BUMR3T,9,9
15416,HVID-B7ZL7L,GID-UNQI9Y,5,5
15417,HVID-5P7N5D,GID-GV8O92,7,7
15418,HVID-9WRDWP,GID-V0MCLU,1,9
15419,HVID-OY7WHB,GID-NSWCN8,6,9
15420,HVID-5QWI49,GID-ZQ8QZ8,7,7
15421,HVID-XBY6ZF,GID-WUCXD1,6,6
15422,HVID-SH05B1,GID-OXQQIQ,0,9
15423,HVID-Q5EUE2,GID-Z79FRF,7,8
15424,HVID-4ZFZRD,GID-2MDLZX,3,1
15425,HVID-7ZW86C,GID-E2ISKB,1,7
15426,HVID-4X2UHI,GID-W234MG,6,2
15427,HVID-OOHYAV,GID-XNMMSJ,3,8
15428,HVID-UDIJSP,GID-T6MQ2S,7,8
15429,HVID-VFWO4S,GID-S0DVTU,8,8
15430,HVID-DMMN48,GID-Q06HA6,8,4
15431,HVID-P5CYEQ,GID-MN9GVH,1,9
15432,HVID-BKWMRY,GID-GMOW98,8,7
15433,HVID-JCPJIH,GID-YXSH7Y,8,8
15434,HVID-9D7NFJ,GID-4OAAWH,9,7
15435,HVID-IZBE1P,GID-I7GB95,0,0
15436,HVID-MQAHHT,GID-D28H0B,9,8
15437,HVID-BYKWJN,GID-3A862K,2,7
15438,HVID-A84RGU,GID-S9ZHQV,8,5
15439,HVID-NPRZ1C,GID-AZ164W,6,9
15440,HVID-FR6SRB,GID-JAI9NG,8,9
15441,HVID-V5684E,GID-YFDJZ7,9,6
15442,HVID-JSVLGX,GID-XC0B68,6,9
15443,HVID-ATTDXS,GID-8WZVCZ,9,0
15444,HVID-EIQU52,GID-F83WV0,8,4
15445,HVID-J2N3BF,GID-JYILVX,6,4
15446,HVID-6B1BUE,GID-33ZX8A,7,3
15447,HVID-WAOX4K,GID-R0RNZ6,5,8
15448,HVID-Z890S4,GID-TPVDH9,9,9
15449,HVID-EVZT44,GID-EIDB7G,4,7
15450,HVID-GIMS7K,GID-JCF3IA,3,7
15451,HVID-BOGCA2,GID-ATMD5D,7,2
15452,HVID-XA6A8M,GID-ODSEZN,2,8
15453,HVID-38LIFN,GID-QXT1SV,7,4
15454,HVID-2EZL5C,GID-TGRKS5,4,8
15455,HVID-17ETMV,GID-PUAT8J,8,2
15456,HVID-CDFWQ8,GID-FOYINM,9,9
15457,HVID-AG0SCI,GID-UTAPEM,1,5
15458,HVID-UZ50RJ,GID-YCL8KC,4,7
15459,HVID-LD09K4,GID-8XASJ3,9,9
15460,HVID-ND1OP5,GID-MBOUND,0,1
15461,HVID-775VK1,GID-FOIBEU,9,9
15462,HVID-HINK52,GID-7Z5WG7,4,9
15463,HVID-JL86RL,GID-5JMVI1,5,1
15464,HVID-EYNETH,GID-150L9P,7,0
15465,HVID-OAYAO2,GID-QTUGBH,1,9
15466,HVID-8INXEF,GID-V67580,7,9
15467,HVID-1CQNA6,GID-758CBI,8,8
15468,HVID-LFPCJJ,GID-YOZ2WU,7,8
15469,HVID-HVID1E,GID-S4OSOP,9,5
15470,HVID-D4D6U9,GID-T8XD6D,0,9
15471,HVID-BJK10L,GID-Y90E1E,6,9
15472,HVID-N4WRQN,GID-4DA8AJ,3,9
15473,HVID-F5JPQY,GID-L3GWXG,7,5
15474,HVID-MKBCTA,GID-9D6O7Y,9,8
15475,HVID-J5CLV0,GID-OZEYKD,8,7
15476,HVID-GX3OJ9,GID-FAH80N,9,9
15477,HVID-DKQYKV,GID-NM8Y06,7,8
15478,HVID-L1DUTW,GID-NF78HK,3,7
15479,HVID-EKBBWA,GID-4GGP82,4,4
15480,HVID-CPG3K4,GID-4NWS72,9,8
15481,HVID-W7FSDI,GID-NEFQBW,7,7
15482,HVID-WWBCS7,GID-P7NR8H,5,1
15483,HVID-ZWXM24,GID-5S7KV1,7,8
15484,HVID-CFITN3,GID-X84RST,8,9
15485,HVID-69DYS4,GID-AXHQ3G,7,7
15486,HVID-QGHK3J,GID-FK2DLZ,2,5
15487,HVID-QZQWZI,GID-W1QCHQ,2,6
15488,HVID-6CL2YS,GID-T91WQE,5,1
15489,HVID-34I1ND,GID-GDO8T3,7,9
15490,HVID-Z2ZRNH,GID-N75650,7,0
15491,HVID-1FCE2R,GID-WY647J,6,7
15492,HVID-EM2GDR,GID-5BR28P,6,8
15493,HVID-V608U1,GID-PM38F0,6,7
15494,HVID-7NHIFY,GID-O4MB3D,8,6
15495,HVID-4BN6VA,GID-6DGF6C,2,9
15496,HVID-PB06HF,GID-7JQKH8,1,9
15497,HVID-8QCWLH,GID-WBDDUV,6,8
15498,HVID-KF6FCT,GID-7L6RQ0,5,7
15499,HVID-NGVFYH,GID-4D9630,7,9
15500,HVID-Q3EAQC,GID-8SLJIG,7,8
15501,HVID-2S0BTF,GID-MICB3T,1,7
15502,HVID-KDNGT0,GID-T34P5R,3,7
15503,HVID-1ER9CN,GID-3P0HE2,3,7
15504,HVID-217G73,GID-QA8R86,6,8
15505,HVID-ZZ7EH8,GID-RX6L9P,6,6
15506,HVID-KRXIPF,GID-IGJ201,5,5
15507,HVID-KK8M0I,GID-VPXNOQ,6,7
15508,HVID-4IGO8G,GID-G78P4H,1,8
15509,HVID-YKL9O5,GID-SQC9FN,8,9
15510,HVID-ZE5Q67,GID-W2CJ11,6,9
15511,HVID-Q6AUKZ,GID-BO54VU,0,9
15512,HVID-M2S8Y4,GID-LUTGT9,9,3
15513,HVID-S1M7LD,GID-QQ4NEF,9,7
15514,HVID-VOGN2H,GID-T7YCF1,7,8
15515,HVID-TC8C4M,GID-J5EOYP,8,8
15516,HVID-PSX10L,GID-5ITVJW,7,8
15517,HVID-EAHJNK,GID-UJXZV3,7,7
15518,HVID-S971KJ,GID-OE44K5,9,3
15519,HVID-VOJB09,GID-7V3R4M,0,7
15520,HVID-464DUC,GID-8QC8MZ,4,7
15521,HVID-H6T7AA,GID-G34V0F,9,9
15522,HVID-NC4G89,GID-HWGZLW,0,7
15523,HVID-58TN64,GID-P933FW,2,7
15524,HVID-3QPQ5V,GID-ZRU5UQ,1,2
15525,HVID-UBLMNO,GID-SUMY0F,3,6
15526,HVID-0J18DO,GID-WA3GEE,9,2
15527,HVID-K4SVG4,GID-QQVLSE,9,9
15528,HVID-LQPJAL,GID-3FQGPK,9,4
15529,HVID-7M2OLL,GID-U285TV,6,0
15530,HVID-F8FXEN,GID-N1XQCJ,7,9
15531,HVID-72UYJU,GID-PH2PWJ,8,9
15532,HVID-DPIJWL,GID-SG9OJA,3,9
15533,HVID-HVVIXM,GID-LMRCOS,5,8
15534,HVID-TO1P3C,GID-PBZPT9,7,7
15535,HVID-1QZR6U,GID-3FTS2E,3,6
15536,HVID-3RHXF3,GID-4VI8CP,9,8
15537,HVID-H7PQD3,GID-1B0B5P,5,7
15538,HVID-GKCY2I,GID-WMPF95,9,1
15539,HVID-ZAPP0B,GID-R6KI91,2,9
15540,HVID-FVZSG8,GID-2JRJH2,9,0
15541,HVID-DATI6B,GID-RPOI4M,5,8
15542,HVID-M4X70V,GID-U21XSD,7,8
15543,HVID-IF8JHD,GID-AO4SOK,2,9
15544,HVID-T0BT9Q,GID-IIQ4MJ,2,5
15545,HVID-UQ6PAA,GID-E5Q3Q9,6,9
15546,HVID-4NNCGW,GID-OXGH6W,0,3
15547,HVID-6K50K0,GID-3WX4K4,8,6
15548,HVID-3RJCLS,GID-I6TUYE,2,7
15549,HVID-RD9RGS,GID-FXXBJN,3,7
15550,HVID-Y8MK88,GID-OHF0MZ,8,8
15551,HVID-XFCO10,GID-UUJUF8,4,5
15552,HVID-5ZSAOR,GID-BE9OEQ,1,2
15553,HVID-4894SS,GID-9ZZ04X,9,9
15554,HVID-X26WEN,GID-IKCUEK,8,9
15555,HVID-POBQQ2,GID-NXPIDN,7,8
15556,HVID-N7KIEM,GID-5Z3LEM,2,7
15557,HVID-FFYSD1,GID-EQS0EB,3,9
15558,HVID-SQKMXX,GID-ZYTZCD,1,9
15559,HVID-EXYB1O,GID-TNSMYU,9,6
15560,HVID-Q39J43,GID-K0UNBK,9,7
15561,HVID-UI0OWA,GID-NI0Y22,6,9
15562,HVID-T2M4KP,GID-6FEUB0,7,8
15563,HVID-VTJKQL,GID-ZZ6M7Z,8,8
15564,HVID-U2V6DZ,GID-YEFV6M,3,1
15565,HVID-VCRRHM,GID-R0YR04,9,7
15566,HVID-B75TO3,GID-H3P3QW,4,8
15567,HVID-29I1JM,GID-VRPBHX,7,0
15568,HVID-20JV9E,GID-PI1KMW,0,7
15569,HVID-TTF20A,GID-NQ7IXL,7,7
15570,HVID-MHR9X3,GID-3L8ZV4,5,9
15571,HVID-5FAU33,GID-QTQOT9,8,6
15572,HVID-OSVNPY,GID-I6AJWA,9,6
15573,HVID-H77TKE,GID-DEX1TQ,4,1
15574,HVID-MMIUJX,GID-GLTLIF,7,7
15575,HVID-AKIARH,GID-JKSQOJ,6,9
15576,HVID-9QMX5Q,GID-BRYYH3,7,8
15577,HVID-JSUKTF,GID-IP8WRX,2,7
15578,HVID-TJCDFV,GID-K1NQEX,3,8
15579,HVID-B2FBJR,GID-8MZL3D,8,7
15580,HVID-D2CZMH,GID-R625XV,8,9
15581,HVID-3Z445N,GID-I6JVNT,1,8
15582,HVID-CEZBZ4,GID-07BGA8,6,8
15583,HVID-RA18P2,GID-1SMFP1,9,7
15584,HVID-JYVUAH,GID-8QSJ3R,4,2
15585,HVID-G1LKY9,GID-BLS7CN,5,5
15586,HVID-VVPJO0,GID-JVG4BI,6,0
15587,HVID-Q135QP,GID-LY7305,7,4
15588,HVID-KXUCW2,GID-PJI7SY,0,9
15589,HVID-6VYSO7,GID-K97IFT,4,2
15590,HVID-GHXORO,GID-X60VE8,6,7
15591,HVID-A2GJPD,GID-1XEC81,9,7
15592,HVID-J07339,GID-DSEMTN,7,8
15593,HVID-28G6TJ,GID-CKRLCE,1,7
15594,HVID-UJ2N2J,GID-6T8EG7,9,9
15595,HVID-A1LRN3,GID-9DV482,3,7
15596,HVID-37XK5K,GID-95NP5J,9,8
15597,HVID-DDTW4K,GID-W1F3VD,1,9
15598,HVID-3JKR17,GID-4ANFRN,3,3
15599,HVID-XJ8M1Y,GID-C54I0R,6,9
15600,HVID-R82SSM,GID-BIBYZC,2,7
15601,HVID-W9KSMI,GID-INVM00,6,9
15602,HVID-73Y5KR,GID-I8E2UC,2,8
15603,HVID-YVEK92,GID-1ZQOY0,8,9
15604,HVID-UM3I34,GID-ZQVDJA,3,7
15605,HVID-ZKGBJ1,GID-WHAIPF,9,9
15606,HVID-FKTP1O,GID-PAFTPO,5,6
15607,HVID-AKRD9P,GID-4U0AGG,5,7
15608,HVID-JLYSER,GID-PHZLU7,0,9
15609,HVID-MML3HX,GID-7FMXI2,1,7
15610,HVID-PBO5MF,GID-XL3SG9,0,9
15611,HVID-HMOPAL,GID-E7OCIR,9,7
15612,HVID-5GC2FZ,GID-FVMLRC,0,8
15613,HVID-ET2YHM,GID-CN2KMN,6,8
15614,HVID-KS6V9O,GID-LXSYCL,3,8
15615,HVID-ICYSFY,GID-WUXFRE,7,8
15616,HVID-P95H8E,GID-G274D8,6,8
15617,HVID-WJP16G,GID-B1TJ7B,6,5
15618,HVID-6B1HJ2,GID-6ND7R4,4,5
15619,HVID-QN0Z2X,GID-4MEJIM,2,8
15620,HVID-IJL6XT,GID-VKIR1L,8,8
15621,HVID-ZPJT29,GID-PQHT6X,7,7
15622,HVID-3XUOFZ,GID-5KS96B,1,9
15623,HVID-BS6A8W,GID-BYI5CV,8,7
15624,HVID-F3MW8L,GID-LP7RTP,7,3
15625,HVID-794AK5,GID-P361Q4,5,9
15626,HVID-HSGECR,GID-O7H8H4,5,3
15627,HVID-O5NIKY,GID-W0PPIS,9,8
15628,HVID-OJCYFZ,GID-I5AMXA,5,8
15629,HVID-36YSSV,GID-V11GZ6,6,8
15630,HVID-6DXJDL,GID-4S0HMV,5,7
15631,HVID-M0TC5X,GID-AQ59M3,8,4
15632,HVID-3XWBHT,GID-X3YBRC,6,7
15633,HVID-VEO3KH,GID-VYLYMI,4,7
15634,HVID-HUIZNL,GID-VP5EMR,3,7
15635,HVID-ZWOSLZ,GID-EYM6QQ,2,1
15636,HVID-1TOPFB,GID-HWCINT,4,9
15637,HVID-XNCVA1,GID-MKNR6G,6,9
15638,HVID-VU6076,GID-XA5TUX,3,9
15639,HVID-GG2EBQ,GID-VFFENR,8,8
15640,HVID-HCR152,GID-XHHMLB,7,6
15641,HVID-A5BZSU,GID-OPJ55Q,9,8
15642,HVID-813FSQ,GID-HTSGAF,3,9
15643,HVID-SYUQ0H,GID-ZZJ8AQ,2,8
15644,HVID-67X9PA,GID-0HDW2N,0,3
15645,HVID-54GE7Z,GID-7QRYLA,4,1
15646,HVID-W1UZT3,GID-P57MYK,8,7
15647,HVID-XXGSMY,GID-I8ELGJ,4,7
15648,HVID-KR51PA,GID-52IZ3N,9,4
15649,HVID-WD741L,GID-K8CHK6,0,3
15650,HVID-0VWZVO,GID-8FFL6K,1,8
15651,HVID-RTD9I5,GID-PYMLZS,8,9
15652,HVID-78XMD0,GID-53LEZS,4,9
15653,HVID-TJR542,GID-WMRGX7,8,8
15654,HVID-OXLID2,GID-NQT14U,6,7
15655,HVID-P51WAG,GID-7QDC0Q,9,2
15656,HVID-N9N38E,GID-SMXKW5,6,6
15657,HVID-RJH4C0,GID-9O2RPY,1,8
15658,HVID-A70WEJ,GID-PRAXAM,8,8
15659,HVID-JVWVD1,GID-729FXT,6,7
15660,HVID-Z7UONB,GID-1Q8HFV,9,7
15661,HVID-5MCNT7,GID-0V3LRE,6,9
15662,HVID-XQZBZE,GID-ADMUE4,1,2
15663,HVID-IH0V0J,GID-1IK49H,0,5
15664,HVID-N8OT3T,GID-6B04K6,0,8
15665,HVID-QK9A07,GID-JEFDUG,8,7
15666,HVID-KHWM47,GID-2PF4MD,4,5
15667,HVID-3T5F9B,GID-P2BG4X,1,9
15668,HVID-CHD2V2,GID-EUZ4Y0,8,7
15669,HVID-ZYGZH2,GID-V2FXQN,8,9
15670,HVID-P3SZS9,GID-CHMJWL,9,9
15671,HVID-5S7PHE,GID-HOEBL7,5,5
15672,HVID-D827S1,GID-PSIC4P,9,5
15673,HVID-7KX070,GID-QX34YV,6,0
15674,HVID-9SK9GB,GID-426ZRG,0,7
15675,HVID-1HRH8K,GID-TOQSR6,8,6
15676,HVID-XG9L2U,GID-HXR0D8,0,6
15677,HVID-DTJSAM,GID-Y1C56P,6,2
15678,HVID-3BR1Q7,GID-5H8SUW,3,3
15679,HVID-02PDND,GID-E6GXMW,9,8
15680,HVID-PQ2ALV,GID-6P6YWY,8,9
15681,HVID-XWJYM8,GID-M1I1I3,0,7
15682,HVID-ORBFLN,GID-3L28DE,2,4
15683,HVID-P476UW,GID-676RDE,9,6
15684,HVID-K9JAWA,GID-OF94TQ,6,4
15685,HVID-AB8FJT,GID-HBPE2O,6,6
15686,HVID-ALYREU,GID-G9XRAI,7,8
15687,HVID-6RA8H9,GID-7ZAAPO,8,9
15688,HVID-FO1ET1,GID-UTC38T,9,9
15689,HVID-M6CYQY,GID-G9VUOE,0,8
15690,HVID-Y6S66Z,GID-TDZ1FA,5,9
15691,HVID-XW877Z,GID-VNGG5W,3,2
15692,HVID-4H4VJY,GID-ANBONF,7,7
15693,HVID-2VSSTV,GID-WA0VEA,8,9
15694,HVID-6DVLBR,GID-OT0BC0,1,1
15695,HVID-V810SF,GID-I7EFNC,7,3
15696,HVID-28LUB7,GID-5S4QK4,6,8
15697,HVID-G7GFS6,GID-KDBSCX,0,6
15698,HVID-7ZOF2R,GID-YEAEFQ,7,6
15699,HVID-3F2KCG,GID-MCRSLG,0,7
15700,HVID-16UYK9,GID-5RYDVF,3,7
15701,HVID-QZSYJS,GID-7DPGC6,9,7
15702,HVID-JV89YC,GID-3AYZW6,3,8
15703,HVID-JLX99G,GID-R47OJI,8,9
15704,HVID-1YSECN,GID-CISNIA,7,0
15705,HVID-Q9FOHK,GID-QBBGY7,6,1
15706,HVID-OCVJDU,GID-6JIJ04,9,7
15707,HVID-O46X8J,GID-7SEXQ8,7,8
15708,HVID-4OH7G3,GID-3LIOQQ,1,7
15709,HVID-P6HYTG,GID-D3YOIN,0,8
15710,HVID-KOLXZS,GID-L1EA2B,0,9
15711,HVID-K6A5Q1,GID-Y311CT,9,9
15712,HVID-BVAPZA,GID-30N91L,6,8
15713,HVID-8Q311N,GID-AJ73A7,7,8
15714,HVID-CEY6R7,GID-HAAFLS,3,7
15715,HVID-3C80GE,GID-P5UST7,0,6
15716,HVID-PHUV47,GID-F55DJJ,1,0
15717,HVID-528R9J,GID-YESIT1,4,3
15718,HVID-PFL8JI,GID-4ZDZAZ,5,8
15719,HVID-0JRKZD,GID-PJNL3C,5,9
15720,HVID-1QPV4R,GID-PIOQAE,7,7
15721,HVID-VIOJ5M,GID-AIP96R,9,3
15722,HVID-HXCL6E,GID-W1ZCQ1,7,9
15723,HVID-VRQMIM,GID-S66E74,9,8
15724,HVID-2Z27SP,GID-6VF56E,0,6
15725,HVID-P3DWK3,GID-99ZPVQ,3,5
15726,HVID-891GHD,GID-GCN7KZ,9,8
15727,HVID-KBHDUP,GID-SMGXO2,9,7
15728,HVID-NM6Z0N,GID-DFGEZZ,4,9
15729,HVID-V747NT,GID-2UYLG6,5,9
15730,HVID-YDA5VV,GID-KXFO40,7,6
15731,HVID-X01RDS,GID-3SUMOX,2,6
15732,HVID-1X05Q4,GID-LIZ8IN,8,9
15733,HVID-G7BYRG,GID-G6MP67,8,9
15734,HVID-2PE4T7,GID-MD4LRS,6,6
15735,HVID-C1OJXD,GID-OQQMIZ,8,9
15736,HVID-Y8HVRK,GID-9YNGMO,9,7
15737,HVID-TPE9N9,GID-AET97C,8,6
15738,HVID-S72FBQ,GID-VE11DP,5,9
15739,HVID-OIVB0N,GID-FPFELM,8,9
15740,HVID-2WR1K8,GID-KN6MWR,0,5
15741,HVID-MK1VRK,GID-FT7TAI,3,4
15742,HVID-Q170PO,GID-FVUFX5,1,9
15743,HVID-S6QM3J,GID-QZU0IN,5,8
15744,HVID-24DFFK,GID-OAOHYB,1,4
15745,HVID-GRLHIU,GID-YD8VYV,9,3
15746,HVID-UCFM5E,GID-T3LO8S,1,8
15747,HVID-T9IZVL,GID-XJK2C0,6,8
15748,HVID-0JEW0H,GID-XK9JQH,7,9
15749,HVID-BX1LUC,GID-LDGU7X,8,2
15750,HVID-WU2M96,GID-ZLNLT1,4,7
15751,HVID-5EOW34,GID-GYQKPC,8,5
15752,HVID-B8UN6J,GID-SMUY3H,8,7
15753,HVID-KH9MC8,GID-9UGRVP,3,1
15754,HVID-8KETUM,GID-CXE9YR,7,7
15755,HVID-M1HR3P,GID-ZG34H3,9,4
15756,HVID-3B448P,GID-QSQONM,9,8
15757,HVID-481GXO,GID-8CKVJX,5,4
15758,HVID-KHYFOY,GID-1OTNNJ,8,1
15759,HVID-BP9413,GID-PFV4J6,8,7
15760,HVID-JOWNA2,GID-YG61CE,6,5
15761,HVID-PBMBWN,GID-PWD6PA,9,9
15762,HVID-JL3ZZ9,GID-HLZLK7,7,7
15763,HVID-QZXC0Q,GID-34T4TK,2,9
15764,HVID-6V5TUZ,GID-VXISVN,4,9
15765,HVID-E8RHZT,GID-CUCXTU,5,9
15766,HVID-M8QCF2,GID-HGW5ZO,7,9
15767,HVID-J6M169,GID-M6UD6H,9,8
15768,HVID-A9IQWX,GID-SEEF4X,3,8
15769,HVID-M61VE9,GID-2F3Q7H,0,9
15770,HVID-OKMP37,GID-D7KVP4,4,7
15771,HVID-G01PU1,GID-FLIKCD,9,1
15772,HVID-561956,GID-IW9AZO,8,7
15773,HVID-OYVR1E,GID-AH72QU,1,8
15774,HVID-W1PXZD,GID-JC5SXX,8,8
15775,HVID-VKVHC5,GID-LE2AAE,9,5
15776,HVID-KH5RH6,GID-NME9MA,1,7
15777,HVID-1QSDT1,GID-6YZZ7T,7,9
15778,HVID-069POQ,GID-RDU9K1,9,6
15779,HVID-4XG09C,GID-4DBTE4,2,8
15780,HVID-QZVU8G,GID-K9K9L5,9,6
15781,HVID-63G3A9,GID-JC2IBA,2,2
15782,HVID-WBDYC9,GID-HSIGCK,4,8
15783,HVID-LBLMWM,GID-K8ZJED,5,8
15784,HVID-AD7E5P,GID-E24YD4,9,7
15785,HVID-Y49FQ3,GID-Z872HK,6,6
15786,HVID-XB27AA,GID-TCFKMU,3,8
15787,HVID-HBEK6H,GID-AI3YEC,3,8
15788,HVID-FO3B9N,GID-MEBI7H,3,9
15789,HVID-3ID960,GID-ESGMTS,8,7
15790,HVID-R337A3,GID-V8618D,9,9
15791,HVID-PEIF9W,GID-J1DC06,6,8
15792,HVID-JMVG9Y,GID-D1K0JL,4,0
15793,HVID-36I9WA,GID-D85UZ7,7,8
15794,HVID-4ZKO6Z,GID-23L137,7,4
15795,HVID-T9M4T9,GID-6SXJ9R,9,7
15796,HVID-RXG2I1,GID-B0EVQH,8,7
15797,HVID-5ZPV7M,GID-59400P,7,9
15798,HVID-5L9VQ3,GID-ZH7FCS,6,9
15799,HVID-BR97AE,GID-UOFPMF,8,7
15800,HVID-GWVQ2Y,GID-EEEY3C,9,8
15801,HVID-7D5LAE,GID-YBD6WL,4,7
15802,HVID-V77RF2,GID-MBJXMN,2,6
15803,HVID-CD3SSB,GID-8W3H2T,8,7
15804,HVID-3GKP4H,GID-AEE3T5,7,2
15805,HVID-IIVPVM,GID-JZ6QAM,5,9
15806,HVID-5Y64EY,GID-9K6PMY,2,9
15807,HVID-U8F4C8,GID-9D1T12,6,7
15808,HVID-BZOOZB,GID-8D8YXC,6,7
15809,HVID-KEI21X,GID-7P4DIO,9,7
15810,HVID-C8C3A1,GID-EFZLXP,7,8
15811,HVID-V9VN1W,GID-Z9QXD5,1,9
15812,HVID-T6WK7C,GID-P4L70J,9,6
15813,HVID-XFE9VR,GID-OOBA4A,1,0
15814,HVID-DM0T8G,GID-SEFQ1L,4,8
15815,HVID-DZM1FE,GID-ZS7HAV,9,9
15816,HVID-PYZ1LP,GID-2TF261,9,9
15817,HVID-FNKR0N,GID-95E0RS,6,9
15818,HVID-WJGU4E,GID-3PU466,9,4
15819,HVID-MUKFRX,GID-KTNA9F,4,8
15820,HVID-ZKQECE,GID-BV1AYE,3,7
15821,HVID-Z8WD0B,GID-YBX8WJ,6,5
15822,HVID-FDVVWI,GID-4VB1Y1,9,7
15823,HVID-OUBIK8,GID-4I4YNV,4,1
15824,HVID-PT0KFF,GID-B1QP8V,8,7
15825,HVID-7J66HF,GID-UKFE7P,1,9
15826,HVID-4B2I3D,GID-CD0RJA,9,9
15827,HVID-NUP3E9,GID-647BNT,5,6
15828,HVID-UZOTGS,GID-NIT0PY,9,6
15829,HVID-CRR1N3,GID-FFTJTW,6,7
15830,HVID-EHHZJ2,GID-8F6PYU,5,4
15831,HVID-XK9V1R,GID-4T1GD0,6,0
15832,HVID-CGBRIB,GID-O3U3Y8,8,1
15833,HVID-EG1CTJ,GID-VU161P,6,9
15834,HVID-SYRT39,GID-LFOQC5,1,6
15835,HVID-GUTVYX,GID-5O2DET,8,8
15836,HVID-0ME8F4,GID-8MWFTW,7,7
15837,HVID-DCZWUZ,GID-DDLYLH,9,8
